Lon,Lat,Count
4.7288383,52.4142922,1
4.7288688,52.4140789,1
4.7302118,52.2956833,1
4.7303313,52.29539,1
4.7303513,52.2953234,1
4.7317296,52.4224043,1
4.732435,52.4115322,1
4.7325409,52.3751647,1
4.7340065,52.4061985,2
4.7340158,52.4060958,2
4.7340483,52.4062912,2
4.7340866,52.4063996,2
4.7341043,52.4060001,2
4.7341242,52.4065073,2
4.7341528,52.4066114,1
4.734192,52.4067175,1
4.7342303,52.4068265,1
4.7342694,52.4059523,3
4.7344521,52.4059286,3
4.7346345,52.4059049,3
4.7348066,52.4058826,3
4.7349632,52.4058623,1
4.7351454,52.4058387,1
4.7353083,52.4058175,1
4.7354843,52.4057947,1
4.7356772,52.4057697,2
4.7358349,52.4057492,2
4.7360117,52.4057263,2
4.7361913,52.405703,2
4.7362211,52.280225,4
4.7363461,52.405683,2
4.7365107,52.2821484,1
4.7365257,52.4056597,2
4.7366997,52.4056371,2
4.7368174,52.280778,1
4.7368504,52.4056176,2
4.7370555,52.405591,1
4.7372194,52.4055697,1
4.7373853,52.4055482,1
4.7375629,52.4055261,1
4.7376726,52.2808787,1
4.7377463,52.4055024,3
4.7379123,52.405481,3
4.7380784,52.4054596,3
4.7382464,52.405438,3
4.7384136,52.4054164,3
4.7385982,52.4053926,3
4.7387564,52.2808013,1
4.7387738,52.40537,2
4.7388931,52.2807118,1
4.7389309,52.4053497,2
4.7391083,52.4053269,1
4.7392951,52.4053028,1
4.7394583,52.4052818,1
4.7396302,52.4052596,1
4.7403388,52.4121162,1
4.7403725,52.4119836,1
4.7417732,52.2791633,1
4.7425519,52.4048857,1
4.7428791,52.404844,1
4.7430521,52.4048612,1
4.7431755,52.4049111,1
4.7432506,52.4050142,1
4.7433096,52.4051157,1
4.7433592,52.4052106,1
4.7433928,52.4053186,1
4.7435349,52.4057342,1
4.7435631,52.4058471,1
4.7436073,52.4059436,1
4.7438436,52.4079835,3
4.7448915,52.408364,2
4.7467669,52.4001435,1
4.7469029,52.4000335,1
4.7469479,52.4002138,1
4.7482744,52.4100578,1
4.7483129,52.4101266,1
4.748606,52.4071272,11
4.7490734,52.4100087,1
4.7493101,52.4018182,1
4.7493176,52.4099248,1
4.7493222,52.4019032,1
4.7493668,52.4020485,1
4.7494119,52.4021332,1
4.7494439,52.4022709,1
4.7495487,52.3708436,1
4.7501116,52.4071824,1
4.7503065,52.4050527,2
4.7503357,52.4051546,1
4.7503603,52.4071427,1
4.7503717,52.4052589,1
4.7503995,52.4053715,1
4.7504378,52.40548,1
4.7504725,52.4055671,1
4.7510303,52.406729,1
4.7511074,52.4068234,1
4.7512216,52.4069028,8
4.7541144,52.4081459,1
4.7542868,52.4082306,1
4.7544559,52.3077589,1
4.7545179,52.3078342,1
4.7545522,52.3078852,1
4.7546496,52.3080213,1
4.7546785,52.308005,1
4.7546892,52.3080436,11
4.7547135,52.4082284,1
4.7547224,52.308018,1
4.7547363,52.3081372,11
4.7547566,52.3081201,11
4.754762,52.3081692,11
4.7547866,52.308147,1
4.7548305,52.3082019,1
4.7548626,52.3082013,1
4.7549857,52.3082536,1
4.7550371,52.3082635,1
4.7551081,52.4029519,1
4.7551355,52.3083197,1
4.7552051,52.308236,1
4.7552244,52.3083885,5
4.7552297,52.3082118,1
4.7552565,52.3082792,1
4.7552629,52.3081581,1
4.7552683,52.3084015,5
4.755274,52.402926,1
4.7553047,52.3082255,1
4.7553068,52.3083917,5
4.7553186,52.3081051,1
4.7553271,52.3084284,5
4.7553346,52.3084022,5
4.75534,52.3082844,1
4.7553528,52.3082183,1
4.7553678,52.3081398,1
4.7553849,52.3082438,1
4.7553903,52.308094,1
4.7554149,52.3081869,1
4.7554181,52.3081496,1
4.755432,52.3081077,1
4.7554342,52.3080534,1
4.7554427,52.3082975,1
4.7554438,52.3082576,1
4.7554449,52.3083341,5
4.7554524,52.3079474,1
4.7554524,52.3084847,1
4.7554545,52.3079827,1
4.7554652,52.3080148,1
4.7554673,52.3085265,1
4.7555048,52.3085436,1
4.7555241,52.3079133,1
4.7555669,52.3080292,1
4.7555712,52.3078852,1
4.7555712,52.3083459,1
4.7555765,52.3085108,1
4.7555851,52.3078381,1
4.7555872,52.3079893,1
4.7556225,52.3085658,1
4.7556418,52.3079873,1
4.7556536,52.3078296,1
4.7556611,52.3085933,1
4.7556729,52.3078976,1
4.7556729,52.30834,1
4.7556814,52.3079709,1
4.7556921,52.3084474,1
4.7556996,52.308573,1
